,fbus,tbus,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin,angmax
28,69,70,0.0050111541748581,0.0006140017579422,0,55.772036003717844,0,0,0,0,1,0,0
29,69,68,0.0114346905216232,0.0014010584860924,0,55.772036003717844,0,0,0,0,1,0,0
30,45,44,0.036364334985052,0.0024752417657725,0,37.84531014537997,0,0,0,0,1,0,0
31,38,37,0.0062138024583445,0.0014640927176437,0,87.64177086298518,0,0,0,0,1,0,0
32,3,2,0.005753943569159,0.0013557410190962,0,87.64177086298518,0,0,0,0,1,0,0
33,31,32,0.0408629635219912,0.0267460055561972,0,87.64177086298518,0,0,0,0,1,0,0
34,61,1,0.0005145976107484,0.0003334592527465,0,,0,0,0,0,1,0,0
35,41,40,0.0036806239945635,0.0004938123053102,0,87.64177086298518,0,0,0,0,1,0,0
36,19,20,0.0039160387609482,0.0005253968161606,0,55.772036003717844,0,0,0,0,1,0,0
37,56,55,0.0135571487373208,0.0004148477829942,0,55.772036003717844,0,0,0,0,1,0,0
38,71,70,0.0110640600923907,0.0007531066813392,0,37.84531014537997,0,0,0,0,1,0,0
39,18,5,0.0133256809183682,0.0009070503277472,0,37.84531014537997,0,0,0,0,1,0,0
40,43,42,0.0122301655690253,0.0028816648847826,0,37.84531014537997,0,0,0,0,1,0,0
41,21,4,0.0154508630176807,0.0010517068846251,0,87.64177086298518,0,0,0,0,1,0,0
42,43,47,0.0245542841518828,0.0016713571054268,0,,0,0,0,0,1,0,0
43,3,4,0.006638668157243,0.0015641993399421,0,37.84531014537997,0,0,0,0,1,0,0
44,3,23,0.0358460002246805,0.008446014857639,0,37.84531014537997,0,0,0,0,1,0,0
45,10,9,0.0195556040901377,0.0023960897769239,0,87.64177086298518,0,0,0,0,1,0,0
46,48,42,0.0085176760298113,0.0011427772145103,0,87.64177086298518,0,0,0,0,1,0,0
47,70,72,0.0757136812418263,0.0051536668036743,0,55.772036003717844,0,0,0,0,1,0,0
48,38,40,0.0086230782618843,0.0020317649573721,0,55.772036003717844,0,0,0,0,1,0,0
49,46,44,0.0097099313694255,0.0006609340629566,0,,0,0,0,0,1,0,0
50,68,67,0.0171458802649236,0.0011670830488202,0,37.84531014537997,0,0,0,0,1,0,0
51,5,19,0.0011359804892427,0.0002910950003684,0,87.64177086298518,0,0,0,0,1,0,0
52,49,37,0.0103344488099137,0.0007034436166934,0,37.84531014537997,0,0,0,0,1,0,0
53,73,69,0.0114268632636573,0.0007778019098548,0,37.84531014537997,0,0,0,0,1,0,0
54,78,1,0.0013755348292761,0.000352480800002,0,87.64177086298518,0,0,0,0,1,0,0
55,33,32,0.0052778692955027,0.0034545199206227,0,37.84531014537997,0,0,0,0,1,0,0
56,67,75,0.0233257821145835,0.0015877356242884,0,37.84531014537997,0,0,0,0,1,0,0
57,13,9,0.0056695115053869,0.0003859114067514,0,87.64177086298518,0,0,0,0,1,0,0
58,60,32,0.005979816408329,0.0008022843219765,0,87.64177086298518,0,0,0,0,1,0,0
59,78,79,0.0313121031574065,0.0073777405242913,0,37.84531014537997,0,0,0,0,1,0,0
60,22,21,0.0051969975548119,0.0006972571354814,0,37.84531014537997,0,0,0,0,1,0,0
61,25,24,0.0072530856924659,0.0009731129753269,0,55.772036003717844,0,0,0,0,1,0,0
62,34,54,0.0140554398020816,0.0033978468760649,0,87.64177086298518,0,0,0,0,1,0,0
63,49,50,0.0045023074640692,0.000604053777656,0,55.772036003717844,0,0,0,0,1,0,0
64,11,10,0.0199169661526068,0.0013557048819585,0,55.772036003717844,0,0,0,0,1,0,0
65,58,33,0.0064871775334057,0.0004415681678014,0,37.84531014537997,0,0,0,0,1,0,0
66,23,24,0.004136081726852,0.0009745413016359,0,55.772036003717844,0,0,0,0,1,0,0
67,40,42,0.0050105078845814,0.0011805731119857,0,37.84531014537997,0,0,0,0,1,0,0
68,51,53,0.0327943526409401,0.0022322407757957,0,37.84531014537997,0,0,0,0,1,0,0
69,7,9,0.004073040026073,0.0009596874507713,0,87.64177086298518,0,0,0,0,1,0,0
70,61,62,0.0100289989312926,0.0023630272122417,0,87.64177086298518,0,0,0,0,1,0,0
71,63,65,0.0183133490226957,0.0022438799728335,0,37.84531014537997,0,0,0,0,1,0,0
72,26,23,0.0046930422762114,0.0011057720399476,0,87.64177086298518,0,0,0,0,1,0,0
73,29,28,0.010745089278581,0.0007313950267544,0,87.64177086298518,0,0,0,0,1,0,0
74,12,10,0.0143894893169098,0.0019305712570249,0,55.772036003717844,0,0,0,0,1,0,0
75,29,30,0.0051370338765926,0.0006892120859952,0,87.64177086298518,0,0,0,0,1,0,0
76,65,77,0.0085990681208571,0.0005853200001654,0,37.84531014537997,0,0,0,0,1,0,0
77,33,59,0.0162275258367553,0.001104572645775,0,55.772036003717844,0,0,0,0,1,0,0
78,74,68,0.0034434769263556,0.0002343900393364,0,55.772036003717844,0,0,0,0,1,0,0
